Provider,Category,Terms URL,Privacy URL
Slack,Team chat & collaboration,https://slack.com/terms-of-service,https://slack.com/trust/privacy/privacy-policy
Zoom,Video conferencing,https://explore.zoom.us/en/terms/,https://explore.zoom.us/en/privacy/
Google Workspace,Productivity suite,https://policies.google.com/terms,https://policies.google.com/privacy
Atlassian (Jira/Confluence),Dev & collaboration,https://www.atlassian.com/legal/cloud-terms-of-service,https://www.atlassian.com/legal/privacy-policy
Salesforce,CRM,https://www.salesforce.com/company/legal/agreements/,https://www.salesforce.com/company/privacy/
HubSpot,Marketing & CRM,https://legal.hubspot.com/terms-of-service,https://legal.hubspot.com/privacy-policy
Zendesk,Customer support,https://www.zendesk.com/company/agreements-and-terms/terms-of-use/,https://www.zendesk.com/company/agreements-and-terms/privacy-policy/
Asana,Project management,https://asana.com/terms,https://asana.com/privacy
monday.com,Work OS,https://monday.com/l/legal/terms-of-service/,https://monday.com/l/legal/privacy-policy/
Notion,Docs & wiki,https://www.notion.so/terms,https://www.notion.so/privacy
Airtable,Database & collaboration,https://www.airtable.com/terms,https://www.airtable.com/privacy
Box,Cloud content management,https://www.box.com/legal/termsofservice,https://www.box.com/legal/privacy
Dropbox,Cloud storage,https://www.dropbox.com/terms,https://www.dropbox.com/privacy
GitHub,Code hosting & Dev,https://docs.github.com/en/site-policy/github-terms/github-terms-of-service,https://docs.github.com/en/site-policy/privacy-policies/github-privacy-statement
Stripe,Payments platform,https://stripe.com/legal/ssa,https://stripe.com/privacy
Twilio,Communications APIs,https://www.twilio.com/legal/tos,https://www.twilio.com/legal/privacy
Shopify,Commerce platform,https://www.shopify.com/legal/terms,https://www.shopify.com/legal/privacy
Mailchimp,Email marketing,https://mailchimp.com/legal/terms/,https://mailchimp.com/legal/privacy/
Intercom,Customer messaging,https://www.intercom.com/legal/terms-of-service,https://www.intercom.com/legal/privacy
Calendly,Scheduling,https://calendly.com/terms,https://calendly.com/privacy

